MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-88.015556	-2.0588682	71.867188
-88.666573	-2.0681601	71.966797
-89.327553	-2.0784352	72.066406
-89.986176	-2.0883887	72.166016
-90.69593	-2.0985589	72.265625
-91.332542	-2.1087132	72.365234
-91.959755	-2.119107	72.464844
-92.587814	-2.1283994	72.564453
-93.281876	-2.1381953	72.664063
-93.983192	-2.1493151	72.763672
-94.661507	-2.1592922	72.863281
-95.350273	-2.1689947	72.962891
-95.990501	-2.1793232	73.0625
-96.705566	-2.188978	73.162109
-97.442268	-2.1983418	73.261719
-98.12394	-2.2083538	73.361328
-98.832001	-2.2192624	73.460938
-99.510063	-2.2304699	73.560547
-100.20515	-2.240577	73.660156
-100.8895	-2.2504539	73.759766
-101.55788	-2.2604311	73.859375
-102.2217	-2.270436	73.958984
-102.89713	-2.280339	74.058594
-103.59058	-2.2915902	74.158203
-104.28186	-2.3019183	74.257813
-105.01848	-2.3122108	74.357422
-105.7477	-2.3217957	74.457031
-106.44867	-2.3330708	74.556641
-107.18402	-2.3442242	74.65625
-107.89531	-2.3544195	74.755859
-108.58623	-2.3657243	74.855469
-109.28513	-2.3773386	74.955078
-109.93916	-2.3866558	75.054688
-110.56064	-2.3977542	75.154297
-111.18514	-2.4076416	75.253906
-111.84106	-2.4177327	75.353516
-112.44032	-2.4292784	75.453125
-113.12122	-2.4386518	75.552734
-113.80684	-2.4497292	75.652344
-114.51241	-2.4617469	75.751953
-115.14317	-2.4715903	75.851563
-115.75926	-2.4812722	75.951172
-116.43935	-2.4928474	76.050781
-117.13266	-2.5036685	76.150391
-117.84471	-2.5140669	76.25
-118.50138	-2.5260539	76.349609
-119.16672	-2.5365882	76.449219
-119.80581	-2.5468404	76.548828
-120.41518	-2.5583401	76.648438
-121.02521	-2.5683906	76.748047
-121.66696	-2.5792816	76.847656
-122.30257	-2.5913446	76.947266
-122.93517	-2.60164	77.046875
-123.56779	-2.6133385	77.146484
-124.19248	-2.6237867	77.246094
-124.83182	-2.6349251	77.345703
-125.3952	-2.6463242	77.445313
-126.03101	-2.6563983	77.544922
-126.64341	-2.6686816	77.644531
-127.23668	-2.6798251	77.744141
-127.81036	-2.6910026	77.84375
-128.40399	-2.7028606	77.943359
-128.94705	-2.7135482	78.042969
-129.48631	-2.7256458	78.142578
-130.01463	-2.7354579	78.242188
-130.54416	-2.7469556	78.341797
-131.09662	-2.7576191	78.441406
-131.66745	-2.7696011	78.541016
-132.20193	-2.7811358	78.640625
-132.71831	-2.7935441	78.740234
-133.26981	-2.8054283	78.839844
-133.77028	-2.8166187	78.939453
-134.25491	-2.8260434	79.039063
-134.72629	-2.8395178	79.138672
-135.18149	-2.8514829	79.238281
-135.64949	-2.8624461	79.337891
